"Module" "Cluster" "Function" "Genes"
"M16.10" "A3" "TBD" "ACY1, AK2, ALMS1, ARMCX5, ASNS, BNIP1, FAM241B, MSANTD2, C16ORF52, SWSAP1, SNAP47, IBA57, SMIM11, PRADC1, SDHAF4, CACNA1H, CAPN12, CCDC65, CCS, CD244, CROT, CRTAP, DDX51, DOP1A, DTX3, EID3, ERBB2, FDX2, TRMT61B, C22orf46P, ZNF815P, TAPT1-AS1, GCET2, GPAM, GUCA1B, HABP4, PPIP5K1, HPS4, HS.121070, HS.400256, HS.497591, HS.555260, HS.576735, HS.576825, HS.86045, HSPC047, IL11RA, L2HGDH, LARS2, LEAP2, LOC285359, LOC400713, LOC401218, LOC554206, LOC644128, LOC650799, LOC727762, MED9, MEI1, METTL16, TMSB15B, MIPEP, NAT14, NMT2, NOXA1, NR2C1, HAUS8, OLFM1, PACSIN1, PCYT2, PKD1, PLAG1, PMS2, PRSS53, PPP1R3F, PTER, PTGDR, RAD17, RIMS3, SARM1, SELENOI, SEPTIN1, SFMBT1, SLC41A1, SMC1A, SNORA33, SNORD35B, SPATA7, TELO2, TMEM191B, TP53TG1, TRNAU1AP, WDR74, XIST, ZNF133, ZNF154, ZNF285, ZNF3, ZNF34, ZNF35, ZNF431, ZNF525, ZNF594, ZNF616, ZNF772"
"M16.100" "A33" "TBD" "CANT1, DHRS9, EPS15L1, FAM91A1, CPPED1, FOS, FTH1P8, GCA, GTDC1, HS.171171, HS.193406, HS.552025, HS.571245, LYN, MNDA, OGFRL1, QPCT, SIGLEC7"
"M16.101" "A33" "TBD" "ARHGAP26, CFLAR, CSF3R, ELF2, FNIP1, HCAR3, HIST2H2AA3, HS.563552, LOC732371, LSP1, NCF1B, NCF4, PTP4A3, RAPGEFL1, SLC24A4, SLC43A2, SRGN"
"M16.102" "A33" "TBD" "NDUFAF5, CAMKK2, CBS, CMTM4, AP5B1, LOC642780, NDST1, NLRP12, PLD1, SIRPD, TDRD9, TFEB, TMEM144, TMEM45B, TNNI2, VPS8, ZNF516"
"M16.103" "A31" "TBD" "COPE, DHX29, E2F4, EIF3J, FAM89B, FTL, HS.575808, LOC643031, LOC652968, LRRC8A, PSMD2, RAB1B, RAB4B, RAB5B, PPP6R1, SOD1, TBC1D10B"
"M16.104" "A8" "Cell cycle" "ACOT2, BACE2, TMEM273, C14ORF122, CDK2, CERKL, ERAP1, HS.121655, LOC649209, LOC650795, LOC651621, MRE11, CAVIN4, RASSF5, RGS1, TAPBP, TXNDC5"
"M16.105" "A6" "TBD" "C21ORF91, TMEM267, DDX54, DDX59, DMWD, OGFOD3, IL2RG, MAPK9, MRPL12, TRAPPC9, RABL3, SCARB1, SMARCB1, SUCLA2, TM2D2, VRK2, ZBTB2"
"M16.106" "A8" "TBD" "ABT1, LINC00239, KNSTRN, EVA1C, SLX9, CELSR3, IQCG, MID2, MSC, PPM1K, PPP2R2B, SLAMF7, SYNGR1, THUMPD3, TMCO4"
"M16.107" "A16" "Oxidative stress" "ABHD11, AMY1B, APOL1, DSC2, GPR155, HS.275823, HS.562974, HS.563020, LOC649362, LOC651524, LOC654335, MAP3K2, NXNL1, RFX4, SOD2, TTC8"
"M16.108" "A13" "TBD" "ASRGL1, CLEC4C, FMO5, HS.325015, HS.563165, HS.574465, LOC652755, LRRK1, MCM3AP-AS1, MGAT3, NPHP4, PI4K2A, RHOBTB3, SASH1, SEPSECS, SPIN3"
"M16.109" "A34" "Platelet" "BAMBI, C14ORF151, NDUFAF3, GRB14, H2AC11, HS.545426, IRX3, LMNA, MSRB3, PF4V1, PTGS1, SMOX, ST7, TMEM40, TPM1"
"M16.11" "A4" "Protein synthesis" "ANGPT1, ANKHD1-EIF4EBP3, ANKRD6, AURKA, AZIN1, DNAJC25, BBS10, ENKUR, C14ORF28, C17ORF58, ASB16-AS1, ACTMAP, NTMT1, QNG1, CBLL1, CLEC4C, CREB1, CXCL5, DEF8, ESS2, DIDO1, DLEU2, DONSON, EIF2S2, EXOC5, FAM101B, FLJ43692, DICER1-AS1, GLRX2, GOSR1, GPR34, GPSM2, H6PD, HAX1, HS.408455, HS.438858, HS.444683, HS.461819, HS.48729, HS.527535, HS.537002, HS.570838, HS.571946, BPNT2, INPP4A, RUBCN, FOCAD, KLC1, LOC143666, LOC255620, LOC642233, LOC642255, LOC642921, LOC642946, LOC643713, LOC649270, LOC727935, LOC732172, MAN1A2, MAP7, CRACDL, NETO2, NLRP2, NONO, CCN3, PDSS1, PHACTR1, JADE3, PLEKHJ1, POU2F1, PSEN2, RCHY1, RGPD1, RPL29, RPS6KA2, RSC1A1, RTF1, S100Z, SCCPDH, SCML4, SEL1L, SERPINI1, SETD4, SIL1, SLC25A14, SLC2A5, SNORA32, SPATA2, ATL1, SPRY1, TM9SF1, TMUB2, TRAF3, TRAK1, TRIM37, TRIOBP, VPS13D, ZFYVE1, ZNF250, ZNF333, ZBTB49, ZNF626"
"M16.110" "A16" "TBD" "ATP6V1G2, C15ORF5, HS.146949, ITGA6, LOC646123, LOC652637, NOL9, PARVB, PDE7A, POM121, PPFIBP1, QKI, RPL32, VAMP1, ZMAT1"
"M16.111" "A5" "TBD" "AKAP1, ATP1B1, DPH6, RBFA, CEP290, EID2B, LOC441408, PCBD1, PITPNC1, QPCT, RAD1, TMSB4Y, TNFRSF21, UTP15, ZP3"
"M16.12" "A15" "B cells" "ACTN2, AKAP11, AMACR, ANKDD1A, AP1GBP1, APOBEC3F, ARRDC3, BCOR, BRCA1, CACUL1, MIR17HG, CGAS, GET4, C9ORF38, C9ORF84, CAB39L, CC2D1B, CCDC100, CCNL2, CD84, CEP152, CEP170, CLIC5, CUGBP1, DLL1, ERBIN, EXOC1, ABHD17B, FCGR2B, LINC-PINT, GALNT6, GLB1L, GTPBP10, HMGXB4, HS.129244, HS.191230, HS.373705, HS.493947, HS.512090, HS.558488, HS.561954, HS.567477, HS.567480, HS.570330, IL2RA, INTS4, KENAE, METTL14, LBH, LIG4, LINS1, LOC440354, LOC441511, LOC645600, LOC646144, LOC648494, LOC648509, LOC651316, LOC652455, LOC652773, LOC728127, VWA5A, CARMIL1, KMT2C, MS4A2, NEDD9, NFX1, PDLIM5, PEX26, PHF11, PHTF2, PMS2L1, PMS2P3, POLR2J4, POT1, PXMP4, RAB24, RAP1GDS1, RPL37, S100PBP, SEPTIN2, SGTB, SH3BP2, SLC38A1, SON, SRP54, STAU1, KMT5B, TMTC3, TXNL4A, UBE2E1, USP42, USP9Y, VPS13B, TIGIT, WDR23, XPOT, XRN1, ZNF292, ZNF623"
"M16.13" "A5" "Protein modification" "AFAP1L2, AKR1C4, ANXA4, ASCC3, BCL11A, BTG3, BZW1, PRXL2A, HIKESHI, C14ORF145, LAMP5, CAMK2D, CAMK4, CASP6, CBR3, CHI3L2, CNTNAP1, CORO2A, DBT, PARM1, ERC1, EEIG1, PABIR1, EEF2KMT, FLJ22795, GEMIN8, GOSR1, GSTM3, GTSCR1, GUSBP2, HDGFL3, HKDC1, HS.46689, HS.494932, HS.551815, HS.558072, HS.571417, IFT88, KLHL14, LEO1, LOC153364, LOC400566, LOC402560, LOC644131, LOC650321, LOC653115, LOC653354, LOC654074, LOC727825, LOC728518, LOC728554, MARCHF5, METTL2A, MGC29891, MINPP1, MOB1B, MOCS2, MRPL19, MRPL30, MSH2, NDNL2, NKAP, NUP43, ORMDL1, PABPC1, PCGF6, PLS1, PRKCI, PSMB8, PSMD10, PTRH2, R3HDM1, RASGRP2, RBBP4, REG4, REPS1, RPL37A, RPSA, SLC39A14, SMC3, SOCS5, TAF9B, TCP1, TMCC1, TOP1MT, TSHZ2, TSPYL2, TUBB6, ZC3H7A, ZNF254, ZNF294, ZNF611, ZNF626, ZNHIT2"
"M16.14" "A6" "TBD" "AACS, ABCF3, ABHD12, ADCK1, AMDHD2, ARRDC1, ATP13A2, ATRIP, ATXN2L, ATXN7L2, B3GAT3, BMF, TWNK, BRICD5, AP5S1, CABLES2, CAD, CAMK1, CAPN3, CD99L2, CECR7, CLIP2, CSNK1E, CYB561, CYP4F12, EDC3, EPHB6, FAHD2B, FAM78A, FAM193B, TMEM214, G6PC3, GATA2, GSTT1, GTF2H4, HMG20A, HYOU1, INPP5E, IPO4, TTI1, CLUH, CARNS1, KIAA1787, KIFC2, LOC338799, LOC348262, LOC645904, PIDD1, LTBP4, MAGED2, MBD3, MECP2, MED24, PALS1, NAGLU, NAA80, NOP2, HAUS8, NABP2, PEX14, PIGO, PLCD1, POMT1, PPARD, PPP1R12C, PTGDS, FHIP2B, RHOF, RMND5B, SART3, SELENOM, SGSM3, SLC29A3, SLC4A2, SMAD7, SNORA10, SNTA1, TBX19, TIMM44, TMEM9, TPM2, U2AF1L4, UAP1L1, VAC14, VAT1, VAV3, ZSCAN9, ZNF276, ZNF513"
"M16.15" "A4" "Cell death" "ADAM17, AMY2B, BIN3, ABTB3, NACC2, BTF3L4, PATE2, SYNE3, SMIM7, C20ORF191, C2CD2, C3AR1, CALCOCO2, CASP8, CCDC140, CDK5R1, CMTM8, CPEB2, EIF4G3, FANCD2, FCGR2B, MYOF, FLJ10213, FNDC3A, PGAP2, MTOR, FYCO1, GCH1, GNE, HADHA, HEATR1, HEXD, HIPK2, H4C14, HS.130916, HS.142570, HS.170035, HS.202577, HS.356079, HS.447737, HS.482960, HS.512096, HS.531457, HS.553301, HS.562660, HS.573047, HS.576633, HVCN1, IKBIP, IRAK2, KHSRP, UVSSA, KLHL8, LOC389286, LOC641825, LOC644591, LOC645489, LOC651309, MAPK13, MFGE8, MRPL57, MTA1, MTX3, MYBPH, NIN, PAICS, PAQR8, POLR3A, PPP2R3A, RFWD3, RNF138, RNF144A, RRBP1, SETX, SLC25A22, SON, SSR2, STAM2, SUMF1, TPRKB, TSEN2, TXK, SNRNP35, ZNF493, ZNF529, CHAMP1"
"M16.16" "A32" "TBD" "AOC1, ALAS1, ARL15, ARRDC4, AVP, BACH1, BRD4, C14ORF21, CASP9, CCDC47, CCR2, ADGRE5, CHD3, COMT, CRK, DC36, DLG4, DNASE1L1, ECE1, ELMO3, EPAS1, EPB41L4B, FADS1, FAM20C, TMEM255B, SPEN-AS1, FRMD4B, GINS4, GOLIM4, GTDC1, GTF2A1, HIPK3, HS.16587, HS.171481, HS.203201, HS.484363, HS.515681, HS.553962, HS.573555, INSC, LNPK, KRTAP19-6, LATS2, LOC196549, LOC643505, LOC646043, LOC646103, LOC648710, LOC652699, LOC653127, LOC729692, LPAR4, DNAAF11, LSP1, MAPK8IP1, MGST1, NECAB2, NFKBID, OPRL1, PAK2, CAVIN3, PRRG4, PSMD13, PTPRE, PTPRJ, RRBP1, RUFY2, S100A7L2, SDC1, SEMG1, SERPINB2, SH2B2, SLC16A5, SLC37A3, SOS2, STAP2, STK40, TBC1D3C, TFPI, THBD, TMSB4X, TNFRSF12A, TRIM41, UBE2R2, UFD1, USP33, VEGFA, ZNF112"
"M16.17" "A17" "Gene transcription" "ABCD3, ADAMTS4, AFAP1, ARID5A, ARMC8, ARPC4, ARPP19, ATP5MG, AUH, BAT3, BEX1, BMP2K, TASOR, ARB2A, CALML4, CC2D1A, CPM, CSNK2A1, DDR1, DEDD, DNAI2, DYDC2, EFNA4, EIF5, MIGA2, FEZ1, TIMM10B, FXYD5, GCM1, HIGD1A, H2BC11, HOXB6, HS.436060, HS.436679, HS.557590, HS.558911, HS.561130, HS.573549, HS.576373, HTRA2, IRF2, IRF2BP2, KRTAP20-2, LGALS12, LOC440258, LOC642082, LOC644117, LOC644482, LOC644846, LOC646135, LOC647890, LOC653073, LOC653720, LOC654161, LOC654260, LYPD1, MBP, OLFM1, PDGFA, PHF1, PIGA, TINCR, PPFIA1, PRR3, RAB4B, RGS6, RNF214, SF3B1, SLC25A20, DENND2B, STMN2, STX5, SURF2, TCTA, DYNLT5, TRIM13, TRIO, RO60, UBC, CHMP3, ZFAND2B, ZNF10, ZNF473"
"M16.18" "A5" "TBD" "AHI1, BBS9, SELENOH, MCRIP2, C17ORF75, C18ORF54, MEAF6, BEND5, LINC00467, MIS18A, DCANP1, PRIMPOL, CD3D, CORO1B, CRYBB2, CYP2U1, DCHS1, GSDME, DISP1, RBM48, DOCK7, DSC1, EFNA1, ERCC2, EXTL2, FAM24B, FTSJ3, GCET2, GIT1, GNA11, GPATCH4, GPR55, HS.185764, HS.46839, HS.569104, URB2, KIF21A, LOC401431, LOC648605, LOC652837, LYPD2, MGC52282, PALS2, MTFP1, KAT7, NANOS1, NMUR1, NR3C2, NRCAM, PABPC3, PER3, PHLPP2, PLCL1, PLPP1, PPIL3, PTDSS2, MOK, RGMB, RPL10L, RTKN2, SALL2, SERPINH1, SLC12A2, SLC20A2, SLC29A2, SNRPD1, SPAG16, SPINK2, TAF6, TBCCD1, TCEAL1, TCEAL4, TMTC4, TNC, TOX, WDR5B, ZNF181, ZNF280D, ZNF415, ZNF416, ZNF543, ZNF681"
"M16.19" "A18" "TBD" "ASIC3, ADAM15, ADCY2, AGPAT3, AP2A1, AP4S1, ARL4A, BRD4, FAXDC2, CDC42EP1, CLEC14A, CLIC2, CMTM3, DMRTB1, DPYSL5, EPB41, EPHA8, ERO1B, WASHC2C, FARP2, FGF23, FIBCD1, FIT1, FLCN, FSD1, GCOM1, TPRA1, HOXD3, HS.116870, HS.137598, HS.149244, HS.242159, HS.352818, HS.423336, HS.538990, HS.543865, HS.544069, HS.545454, HS.552431, HS.557481, HS.559564, HS.564949, HS.566514, HS.578895, HS.579013, HS.579479, HS.582701, ICAM4, IRX1, KCMF1, LARP4, LOC161527, LOC285453, LOC402066, LOC642468, LOC643272, LOC647363, LOC649604, LOC653765, MBNL3, MEGF10, NCAN, NR1D1, NRIP3, PHF2, PTPA, RGR, RHPN1, RNF187, ROPN1B, SDSL, SLC30A3, SLC35A2, SMPD4, SNHG10, SRGAP2, SS18, STEAP3, SUV39H2, TRIML1, YIPF2, ZBTB7B"
"M16.2" "A32" "Protein synthesis" "NCEH1, ABCC10, ABHD2, ABHD4, ADAM15, ADI1, AGTPBP1, AMPD3, ANKRD50, ARHGEF11, ARNT, ASB6, BCORL1, BNIPL, BTD, LRMDA, ZCCHC24, PHAF1, MFSD12, SWT1, EVA1B, TMEM234, PCIF1, MB21D2, CCZ1B, FAM219A, CDKN2B, CEP164, CES1, CLIC4, CYB5D1, DAPK3, DCTN1, DOK3, DPH3, DYNC1LI1, AGO3, EPDR1, EPHB4, EXT2, MVB12B, FAM89A, FLNA, FRS3, GALNS, GLYCTK, GOLPH3L, GYS1, HNMT, HS.12876, HS.240801, HS.293676, HS.336370, HS.535044, HS.548831, KAT5, ITSN1, KCNK6, AP5Z1, WASHC4, NCKAP5L, KLF11, KLHL18, KPNA2, LAPTM4B, LGALS9, LILRB4, C2orf76, LOC158830, LOC284837, LOC644677, LOC649422, LOC729764, LOC81691, LUC7L2, MAP6D1, MAPK1, MED15, MSL2, MTRF1L, NBN, NFKB2, NFYB, NIT1, NRM, NUDT16, PAPSS2, PCBD1, PDGFC, CDK14, PHF12, PHF20L1, PIK3C3, PIP4K2C, POLE, POLR2J, PPFIA1, PRKAR1A, PSRC1, PTPRE, RAB11FIP4, RABGEF1, RGL1, RICTOR, RLF, RNF146, RNPEPL1, ROCK1, RPS6KC1, RRM2B, RSPH3, SAMSN1, SAP18, SAP30BP, SELENON, SERINC3, SFXN5, SIN3B, SIRT2, SLC25A13, SLC25A16, SLC25A29, SLC30A1, SLC35F5, SLC39A8, SLC4A1AP, SLC6A12, SLCO3A1, SMAD2, SNAI3, SNTB2, SNX8, SOAT1, SPHAR, SPIRE1, SREBF1, STARD8, STK11, STK38L, SUPT6H, TAOK2, TBC1D25, TBC1D3B, TBC1D3G, TJP2, TK2, TMEM51, TNFRSF8, TOP1, TRAPPC6B, TRIP6, TTYH2, TXNL4B, UBE2B, USP25, ZMAT5, ZNF230, ZNF282, ZNF446, ZNF580, ZNF785"
"M16.20" "A23" "TBD" "ARL6IP4, ART4, ASH1L, ATF7, ATP5MC2, ANKRD40CL, CETN1, CHRNA2, CRB3, CST9, DPCR1, WASHC2A, FER1L5, FLJ32955, FRMPD3, GBA1LP, GLIPR1L2, GPC5, HCN3, HDLBP, HS.125470, HS.441213, HS.505855, HS.541100, HS.548213, HS.560732, HS.566764, HS.573497, HS.578850, HS.581662, HS.98466, IL17RC, INPP5A, LOC145820, LOC283174, LOC283871, LOC284194, LOC340113, LOC642316, LOC642740, LOC643834, LOC645079, LOC646604, LOC647778, LOC648526, LOC650620, LOC651137, LOC651763, LOC652045, LOC652231, LOC652673, LOC653696, LRP2BP, MAPK15, MUSTN1, NCDN, NFKBIZ, NLGN2, OR1L8, OR2T12, OR52D1, OSBPL3, OXCT2, PADI1, PDZD11, PGLYRP4, PLA2G10, PLCB1, PPP2R3A, PRICKLE2, RNASE10, RTN3, SCP2, SERPINB7, SLC16A2, SOX30, SP6, TFAP4, ZNF470, ZNRF3, ZWINT"
"M16.21" "A15" "TBD" "ATXN2L, MSANTD2, FAM184A, SLC22A23, CCDC15, CENPJ, CHTF18, CLEC2D, CTAGE6, DCBLD2, DMXL1, DNA2, DPY19L4, ERMN, FANCB, FOXP1, GAL3ST4, GIGYF1, TAMALIN, H2AJ, HERC4, HNRPH1, HS.117299, HS.128708, HS.145307, HS.442773, HS.443189, HS.547551, HS.561656, HS.565244, ICOSLG, IFT88, IGSF9B, KLHL17, LOC643438, LOC643453, LOC644845, LOC648226, LOC648453, LOC648749, LOC650114, LOC652479, LOC653524, LOC653596, LOC729137, LYG1, MASTL, MPI, NEIL1, NFRKB, NR1D2, NUMA1, PCYOX1L, PLGLB1, PRR3, RABL2B, RBBP6, TRMT10A, RNPC2, RUFY2, SAMD1, SASS6, SEC31B, SLC23A3, SLC4A8, SUMO4, SYNE2, TAF1, ANO9, TUBE1, ERP44, UGP2, VAPA, WDR86, NSD3, ZNF225, ZNF335, ZNF514, ZNF598, KRBOX4"
"M16.22" "A33" "TBD" "ACSL3, ADAM9, ANKRD34B, AQP12A, ATP9A, GPN3, BCL6, TMEM260, LINC02913, CCDC147, CLEC5A, COL17A1, CXCL14, DISC1, GPR42, C5AR2, HIPK3, HPGD, HS.128615, HS.208623, HS.369978, HS.474713, HS.544245, HS.563795, HS.566482, IGF1R, IL4R, IVNS1ABP, KIF1B, KREMEN1, LAT2, LILRA6, LOC400499, LOC440525, LOC441124, LOC641693, LOC642120, LOC642816, LOC646309, LOC646424, LOC653867, LOC730953, MAST4, TMT1B, MYO10, NTNG2, PADI2, PCOLCE2, PGM5, PNRC1, RAB27A, SERPINB10, SERTAD3, SLC25A40, SLC26A8, SMARCD3, SOCS3, STRN, TMCC3, TMEM119, TMEM185B, TMLHE, NEAT1, TOM1, TOR1AIP2, TP53I11, TPH1, UPB1, UPP1, USP32, VASP, VNN3P, WDFY3, WDR38, MAP3K20, ZNF254"
"M16.23" "A17" "Cell cycle" "ADCK5, ALG11, SLF1, APOO, ARID4A, CTU1, BMF, INSYN2A, IFTAP, COPRS, C21ORF58, ARMT1, C9ORF7, CCDC126, CCDC18, CHST2, CSHL1, CSNK1G3, TXLNGY, TXLNGY, DNPEP, EGR3, EIF1AY, EXOC4, FKBP4, FLYWCH2, FMO6P, FOXRED2, FUS, FZD1, GCNT2, GINS3, GOLIM4, GPM6A, HINT3, HS.558286, HS.98330, HUS1B, IKZF2, ISYNA1, KDM5D, KCNN4, LOC400566, LOC642236, LOC728734, MAP2K7, MED22, MOCS1, MPDU1, MRE11, NEO1, NR2C2, PAIP1, PAPOLG, PGGT1B, PIAS2, PINX1, POLR3F, PRKY, PSMD11, RPS4Y1, RPS4Y2, SFXN4, SMU1, SPTLC1, TCHP, MFSD13A, TNFSF8, TRIM39, TSPAN17, UTY, VPS41, NELFA, WNT16, ZNF3, ZSWIM3"
"M16.24" "A6" "T cells" "ATP2C1, BIN2, BP75, MIDEAS, SLC35F6, CCZ1B, CAPN7, CAPRIN1, CAPRIN2, CD82, CD8B, CLASP2, COG3, CYP27A1, ESS2, EPC1, EZH2, RETREG1, FXR1, GALT, GART, GPR132, GSTM1, HAPLN3, HNRPH2, HPS3, HS.250648, HS.443123, ITPA, VIRMA, KIF3B, LCP2, LOC649210, LOC650034, LOC652694, LOC727848, MAFG, MAML1, MBD1, MBD2, MBTPS1, MIA3, MPEG1, MRPL47, NDUFA10, PJA1, PKN1, POU2F2, PPP2R5D, PTP4A3, PTRH1, QRICH1, RBM15B, REL, RUVBL1, RUVBL2, SATB1, ENTR1, SH2B1, SH2D3C, ST6GAL1, TAFAZZIN, TCF7, TPP2, UBAP2, UQCC1, UTP14A, WASF2, WDR20, ZC3H14, ZFX, ZNF37A"
"M16.25" "A6" "TBD" "ACLY, APTX, ARID2, SRRT, ASB3, ATAD1, C15ORF40, FAM222B, C1ORF52, LINC00467, C8ORF76, CAMSAP1, CAPRIN1, CASP2, INO80E, CD1A, CHD1, CLK2, E2F6, EIF4B, VCF2, FAM39DP, FGD2, GSG1L, HCCS, HS.126245, HS.573264, INO80, INPP5F, INTS1, LOC23117, LOC440341, LOC613037, LOC653344, LOC90379, LOC91561, MAP3K14, MBNL1, MED23, MPHOSPH8, NT5DC1, ODF2, PDIK1L, POFUT1, PREPL, PRPF8, PWWP2B, RBBP5, ELMOD3, RBM10, RNF34, RORA, RPS27, RSBN1, RSRC2, SCYL3, SLC35C2, SMARCAL1, SMN1, SNAPC3, SPIN1, TBCD, TLE1, TRAPPC12, UBE2D2, UBXN4, USP48, VPS52, XPR1, ZC3H4, ZCCHC9, ZSCAN26, ZNF549, ZNF654"
"M16.26" "A26" "TBD" "NCEH1, ACACA, ACOX3, AMZ2, AP1S2, ARL6IP5, ATF4, AURKAIP1, BCAP31, C11ORF54, C11ORF68, FAM217B, C5ORF15, TTI2, CALM1, CCND3, CDC37, CDCA4, CDV3, CFL1, CLEC10A, CMTM7, INTS11, CSK, CTSH, DEGS1, DNAJA1, ELF4, ERLIN2, ERN1, RAMAC, FAM89A, GDI2, HMGCL, HS.569162, HSP90B1, LOC401052, LOC401152, LOC653874, MAD2L2, MDH2, MOSPD3, MTHFD2, GLYR1, NDC80, NFKBIB, NSMCE2, PAQR4, PARD6A, PDIA5, PDLIM7, PFN1, PGK1, PGLS, PHF19, PREB, SDHC, SETD3, SLC9A6, SORBS3, SSU72, SULT1A3, TADA3, TATDN3, THAP7, IGFLR1, TTF1, UBC, VAMP7, VPS37A, ZDHHC3, ZFPL1"
"M16.27" "A32" "TBD" "ADD1, AP3S2, ARF3, ATG3, ATP7A, BTBD7, PROSER2, SNRNP48, ZFC3H1, CDH2, CHMP4B, COX6B1, CUL4A, DHRSX, DNAJC13, EIF4EBP3, EIF4G2, DIPK1A, FBXW11, FBXW2, FCN1, GIMAP4, GTF2E1, MACROH2A1, HS.363526, HS.369017, HS.426929, HS.534680, HS.556018, HS.563361, HS.568690, HYAL3, JTB, KIT, KLF12, KLF2, LASP1, LOC643389, LPIN2, LTA4H, LY6G5C, KMT2E, MPZL2, P2RY2, PAQR7, PIGO, PKNOX1, PKP4, PLEKHM2, PURB, RAB37, RRAGB, S100A4, S100A9, SCAND1, SEC16A, SGPL1, SPHK1, SSH3, STK24, TMEM11, TRERF1, TTC9C, TTLL4, UBR4, UNC13A, WDFY2, NSD3, ZHX2"
"M16.28" "A15" "TBD" "ADRA2A, AKAP11, ATRX, BCAS4, BMP8B, BRUNOL6, BTBD1, C17ORF80, CBX2, COG5, TXLNG, TXLNGY, DDB1, DIDO1, FAM156A, FLJ37464, FLJ40113, FLJ45966, GGPS1, GPM6B, HELB, HS.186848, HS.563639, HS.570617, HS.572495, HS.577681, HS.579070, HS.72010, IL6ST, KCTD5, LHFPL3, LIG3, LOC163233, LOC202181, LOC388237, LOC440349, LOC641978, LOC644284, LOC648490, LOC652184, LOC652790, RPL23AP82, MRRF, MTERF4, NFATC2IP, BEX3, NR2F2, NSUN5P1, PARP15, PCBD2, PHKB, PHOSPHO2, PILRB, PMS2L1, PPP1R16A, PRRT2, RABL2A, TRMT10B, SEC23A, SHOX2, ST3GAL1, STRC, TRAPPC2, ZBTB39, ZMYM5, ZNF286A, ZNF586"
"M16.29" "A8" "TBD" "ABCC1, ANKRD26, ARMC10, BCOR, CAMK2D, CASP6, CDK8, CDKAL1, DHFR2, DUSP10, ECHDC1, ERO1B, FAM76A, FIGNL1, GALNT12, GATC, GFPT1, GOLGA6B, POLR2M, HLTF, HS.540121, HS.567392, HS.575603, HS.62314, UFL1, LBH, LIN9, C4orf46, LOC388681, LOC645052, LOC96610, LRRC40, MAML2, MAP4K3, MCCC2, MDN1, METTL6, MYST4, N6AMT1, ICE2, NUS1, OPN3, OR7E156P, PARG, PDE6B, PIGW, PKD2, PPP2R1B, SLAIN1, STMN1, THYN1, TNRC6C, TRIM35, VNN2, ZBTB38, ZNF121, ZNF138, ZNF493, ZNF567, ZNF679, ZNF813, ZNF92"
"M16.3" "A6" "T cells" "ACD, AKAP10, ANKMY1, APH1A, ATP1A1, ATR, AZI1, BRI3BP, AKIP1, IGBP1P1, CCDC9B, CTC1, CASP6, CCDC102A, CCDC106, CCDC21, MIX23, CCL4L1, CCNC, CD300LB, CD3G, CD8A, CDKN1C, CLN5, CMAHP, COLQ, COMMD10, COQ6, CPT1B, CRIP2, CXCL5, DAAM1, DCLRE1C, DERL2, DUS3L, DUSP5, DUSP6, DYNLRB2, DYNLT3, DYRK2, ELOVL6, ABHD17C, PCED1A, FIG4, PRR5L, FUT6, GCHFR, GIPC1, HDC, HDHD2, HES6, H2BC9, HS.197143, HS.25892, HS.551538, HS.567460, HS.570385, IKBIP, ITGA4, ITM2C, SPIDR, IQCN, KLRC2, LAIR2, LCK, LGALS2, LIX1L, LOC130773, LOC149448, LOC205251, LOC441743, LOC642083, LOC642197, LOC645236, LOC649754, LOC649841, LOC651575, LOC651751, LOC728715, LOC730746, LRRC14, MAP7, MARCHF1, MATR3, NRARP, MRPL38, MST1, MYOM2, NIPSNAP3A, NME2, NR2C2AP, NT5E, OMA1, PICK1, PIGX, PIK3C2B, PPIE, PRMT2, PRPF38A, PTP4A3, RAB11FIP5, RASA3, RBMX2, TRMT10C, RGS12, RIN2, RNF5, RNPC3, RUNDC2C, S100PBP, SDHAP3, SEC22A, TRAPPC2B, SEPT6, SIGIRR, SLC45A3, SLC7A6, SMARCA5, SNF8, SNORD31, ST6GALNAC6, SULT1A3, SULT1A4, SWAP70, TAPT1, TARBP1, TBRG4, TERF1, TIA1, TKTL1, TMEM137, TMEM62, TMEM80, TNFRSF4, TRIB2, TSPAN3, ATP5MK, VSTM1, XRCC1, YPEL1, ZNF212, ZNF264, ZNF266, ZNF330, ZNF91"
"M16.30" "A8" "Complement" "ALG1, TMEM237, APOBEC3H, BPNT1, C1QB, C2, C20ORF127, CAV1, CCNE1, CLDN23, CPSF6, CTLA4, TASL, EDARADD, EID1, EZH2, GALK2, GCH1, GPR82, HNRNPA1, HS.270778, HS.551847, HS.554445, HSD17B7P2, ICA1, IL15, ITIH4, LOC401845, LOC642732, LOC646817, LOC647460, LOC648366, LOC650274, LOC652102, LOC652113, LOC652126, LOC654174, MCAT, MCM8, MTE, MTHFD1, NME1, GAR1, NQO1, PDCD1, PGAM5, PRR11, PSEN2, PXMP4, RFC3, RGPD2, RNF34, SGO2, STOML1, TEP1, TIMD4, TRIM14, TRIM5, TRIM69, UBA2, ZBTB32"
